,-no-flag,-adce,-always-inline,-argpromotion,-break-crit-edges,-codegenprepare,-constmerge,-dce,-deadargelim,-dse,-function-attrs,-globaldce,-globalopt,-gvn,-indvars,-inline,-instcombine,-aggressive-instcombine,-ipsccp,-jump-threading,-lcssa,-licm,-loop-deletion,-loop-extract,-loop-extract-single,-loop-reduce,-loop-rotate,-loop-simplify,-loop-unroll,-loop-unroll-and-jam,-loweratomic,-lowerinvoke,-lowerswitch,-mem2reg,-memcpyopt,-mergefunc,-mergereturn,-partial-inliner,-reassociate,-reg2mem,-sroa,-sccp,-simplifycfg,-sink,-strip,-strip-dead-debug-info,-strip-dead-prototypes,-strip-debug-declare,-strip-nondebug,-tailcallelim
csmith_158,28040,28040,28040,28040,28040,28040,28040,28040,28040,28040,28040,28040,28024,28040,28040,28040,28040,28040,27960,28040,28040,28040,28040,28040,28040,28040,28040,28040,28040,28040,28040,28040,28040,28040,28040,28040,28040,28040,28040,28040,28040,28040,28040,28040,28040,28040,28040,28040,28040,28040
csmith_159,33240,33240,33240,33224,33240,33240,33240,33240,33240,33240,33240,33240,33240,33240,33240,33240,33240,33240,33176,33240,33240,33240,33240,33240,33240,33240,33240,33240,33240,33240,33240,33240,33240,33240,33240,33240,33240,33240,33240,33240,33240,33240,33240,33240,33240,33240,33240,33240,33240,33240
csmith_16,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712,10712
csmith_160,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45368,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464,45464
csmith_161,23816,23816,23816,23816,23816,23816,23816,23816,23816,23816,23816,23816,23784,23816,23816,23816,23816,23816,23640,23816,23816,23816,23816,23816,23816,23816,23816,23816,23816,23816,23816,23816,23816,23816,23816,23816,23816,23816,23816,23816,23816,23816,23816,23816,23816,23816,23816,23816,23816,23816
csmith_162,43480,43480,43480,43480,43480,43480,43480,43480,43480,43480,43480,43480,43096,43480,43480,43480,43480,43480,43016,43480,43480,43480,43480,43480,43480,43480,43480,43480,43480,43480,43480,43480,43480,43480,43480,43480,43480,43480,43480,43480,43480,43480,43480,43480,43480,43480,43480,43480,43480,43480
csmith_163,46424,46424,46424,46424,46424,46424,46424,46424,46424,46424,46424,46424,46360,46424,46424,46424,46424,46424,46136,46424,46424,46424,46424,46424,46424,46424,46424,46424,46424,46424,46424,46424,46424,46424,46424,46424,46424,46424,46424,46424,46424,46424,46424,46424,46424,46424,46424,46424,46424,46424
csmith_164,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29544,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608,29608
csmith_165,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,78984,79000,79000,79000,79000,79000,78936,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000
csmith_166,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736
csmith_167,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9656,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624,9624
csmith_168,24920,24936,24920,24920,24904,24920,24920,24936,24920,24936,24920,24920,24920,24936,24920,24936,24920,24904,24680,24920,24936,24936,24920,24920,24904,24920,24920,24920,24920,24904,24920,24920,24920,24920,24920,24920,24920,24904,24920,24920,24936,24936,24920,24936,24936,24904,24904,24904,24920,24920
csmith_169,47000,47016,47000,47000,46984,47000,47000,47016,47000,47016,47000,47000,47000,47016,47000,47016,47000,46984,46824,47000,47016,47016,47000,47000,46984,47000,47000,47000,47000,46984,47000,47000,47000,47000,47000,47000,47000,46984,47000,47000,47016,47016,47000,47016,47016,46984,46984,46984,47000,47000
